pH,CEC,phosphorus,potassium,calcium,magnesium,lime_index,Treatment
6.9,6.9,47.5,142,990.5,192,,T3
6.7,6.2,27.5,132,884,173.5,,T3
6.5,6.5,23,116,884,213.5,,T3
6.1,5,49,92,800,88,,T3
6.4,,51.5,248,914.5,160,,T3
6.4,,32.5,177,838,160,,T3
6.8,,23,109.5,1066.5,180,,T3
6.7,,31.5,80,876,172,,T3
6.4,,94,252,800,164,,T3
6.3,,89,198,727.5,164,,T3
6.6,,80,80,727.5,168,,T3
6.6,,77,88.5,727.5,144,,T3
6.7,,77,231.5,914.5,168,,T3
6.6,,80,240,838,156,,T3
7,,58,126.5,952.5,160,,T3
6.9,,62.5,113.5,990.5,180,,T3
6.4,,42.5,272,800,168,,T3
6.5,,40,223,876,184,,T3
6.7,,34.5,101,914.5,188,,T3
6.4,,31,118,952.5,188,,T3
6.3,,30,147.5,838,184,,T3
6.1,,30,189.5,876,188,,T3
6.3,,28,97,838,200,,T3
6.2,,29,101,876,192,,T3
6,,54.5,122,763.5,76,,T3
6,,68,172.5,800,76,,T3
6.1,,62.5,88.5,800,56,,T3
6.1,,56.5,92.5,926.5,72,,T3
7,,31,84,876,205.5,,T3
6.3,,47.5,214.5,800,198,,T3
6.7,,75,97,724,183,,T3
6.3,,103.5,210.5,762,190.5,,T3
7,,69,115.5,884.5,196,,T3
6.5,,83.5,223,884,212,,T3
6.7,,36,115.5,847,196,,T3
6.4,,49,223,842,200,,T3
6.4,,30,97,840,220,,T3
6.2,,39,224,880,224,,T3
5.9,,55,62,763.5,92,,T3
5.8,,67,143,763.5,116,,T3
6.1,7.69603,22,81,1146,211,70,T4
6.3,7.29128,27,72,1043,227,70,T4
6.2,7.84256,19,92,1143,227,70,T4
6.4,7.55244,21,90,1081,230,70,T4
6.2,7.66167,15,78,1099,236,70,T4
6.1,6.03321,35,37,911,166,70,T4
6.6,8.6,20,89,1136,185,69,T4
6.7,6.5,26,71,971,178,70,T4
6.5,7,21,79,1049,182,70,T4
6.7,7,24,79,1063,181,70,T4
6.4,7.5,23,72,1127,199,70,T4
6.5,5.6,32,37,874,139,70,T4
6.2,6.1,17,80,870,189,,T4
6.5,5.6,21,66,774,193,,T4
6.3,6.1,17,79,837,201,,T4
6.5,6.2,16,83,869,196,,T4
6.4,6.1,11,67,851,199,,T4
6.3,4.5,26,34,641,139,,T4
6.2,6.1,17,80,870,189,,T4
6.5,5.6,21,66,774,193,,T4
6.3,6.1,17,79,837,201,,T4
6.5,6.2,16,83,869,196,,T4
6.4,6.1,11,67,851,199,,T4
6.3,4.5,26,34,641,139,,T4
6.2,,19,113,1039,168,,T4
6.3,,25,89,918,185,,T4
6.2,,22,91,955,183,,T4
6.5,,20,107,1084,181,,T4
6.2,,14,88,1025,206,,T4
6.3,,32,45,877,189,,T4
6.2,,19,107,940,197,69,T4
6.3,,27,81,784,182,69,T4
6.2,,21,96,860,191,68,T4
6.2,,22,78,701,148,69,T4
6.2,,13,69,832,183,69,T4
6.3,,32,37,696,146,69,T4
6,4.8,18,74,683,146,70,T4
5.8,7.4,23,75,741,132,68,T4
5.9,7,18,93,862,154,69,T4
5.9,5.6,22,104,844,135,70,T4
5.8,7.7,14,88,968,169,69,T4
6.2,6.2,35,48,767,123,69,T4
5.9,6.5,19,93,799,132,69,T4
5.7,7.2,25,81,704,124,68,T4
5.7,7.6,20,88,770,133,68,T4
5.9,6.7,21,91,811,146,69,T4
5.8,7.2,13,84,880,161,69,T4
6.1,6.1,34,41,739,136,69,T4
5.9,7.9,22,94,1002,175,69,T4
5.8,7.7,25,73,794,139,68,T4
5.7,7.8,24,84,804,134,68,T4
5.9,7.9,26,87,826,139,68,T4
5.8,8.3,18,76,885,158,68,T4
6.1,4.6,34,33,514,93,69,T4
5.8,8.3,25,100,914,131,68,T4
5.7,8.8,34,86,770,139,67,T4
5.9,9.6,28,95,870,167,67,T4
5.9,8.3,35,105,863,157,68,T4
5.7,9.1,18,89,783,161,67,T4
6,6.1,43,45,725,142,69,T4
5.9,6.3,24,81,736,141,,T4
6.1,7.2,18,86,905,149,,T4
5.9,7.3,21,99,882,171,,T4
6,7.2,22,110,873,168,,T4
5.9,7.1,14,78,870,167,,T4
6.3,6.3,35,35,758,145,,T4
6.1,8.7,24,104,,,,T4
5.8,7.6,32,78,,,,T4
5.8,9.2,24,101,,,,T4
6.1,7.4,28,99,,,,T4
6,8.1,17,82,,,,T4
6.2,6.1,42,43,,,,T4
5.9,7.6,22,108,,,,T4
5.7,6.7,31,104,,,,T4
5.8,7.2,23,94,,,,T4
6,7.7,27,108,,,,T4
5.8,7.1,16,76,,,,T4
6.1,6.4,43,45,,,,T4
6,8.5,26,125,,,,T4
5.7,8.2,27,108,,,,T4
6.1,9.1,22,177,,,,T4
6,8.8,34,133,,,,T4
5.7,9,13,134,,,,T4
6.2,6.9,35,58,,,,T4
6.3,7.4,24,112,,,,T4
6.1,5.9,32,103,,,,T4
6.2,6.6,28,119,,,,T4
6.5,7,31,120,,,,T4
6.2,7.5,16,92,,,,T4
6.4,5.3,40,54,,,,T4
6.6,7.3,23,114.5,,,,T4
6.3,6,28,105,,,,T4
6.4,7,25.5,114.5,,,,T4
6.4,7.3,26.5,128.5,,,,T4
6.4,6.7,14,100,,,,T4
6.5,6,45.5,58,,,,T4
6.3,6.4,22,100,,,,T4
6.1,5.8,27.5,94.5,,,,T4
6.1,6.5,24.5,110,,,,T4
6.1,6.4,27.5,94.5,,,,T4
6.4,6.2,15.5,78,,,,T4
6.1,4.9,43,39,,,,T4
6.3,6.5,23,105,,,,T4
6.2,5.5,31.5,85,,,,T4
6,6.7,26,105,,,,T4
6.5,6.5,30,120,,,,T4
6.1,6.1,17,90,,,,T4
6.1,4.4,41,40,,,,T4
6.3,7.6,26,125,1095,221,,T4
6.1,6.2,38,110,850,195,,T4
6.2,7,31,125,950,226,,T4
6.3,7.4,34,135,1047,221,,T4
6.2,6.7,20,105,900,226,,T4
5.8,4.9,46,61,750,117,,T4
6.4,6.9,32,125,1000,194,,T4
6.5,6.1,42,100,850,189,,T4
6.3,6.3,34,110,900,184,,T4
6.6,7,39,115,1000,200,,T4
6.3,6.7,20,89,950,205,,T4
6,6.6,45,52,850,121,,T4
6.4,7.2,29,119,1045,205,,T4
6.3,6.5,42,119,894,205,,T4
6.2,6.5,31,124,894,209,,T4
6.5,6.4,37,124,894,190,,T4
6.2,6.1,20,94,842,195,,T4
5.9,4,50,47,579,119,,T4
6.6,6.6,27,100,950,190,,T4
6.5,5.8,33,80,800,185,,T4
6.4,5.7,29.5,90,800,171,,T4
6.7,6,34,100,850,181,,T4
6.3,6,20.5,75,850,190,,T4
6.1,3.9,41,45,600,90,,T4
6.4,7.2,35.5,134.5,1052.5,192.5,,T4
6.2,6.5,41,113.5,926.5,185.5,,T4
6.3,7.3,37.5,118,1052.5,207.5,,T4
6.6,7.3,46.5,113.5,1052.5,207.5,,T4
6.4,6.7,20,80,968.5,203.5,,T4
6,3.8,43.5,40,631.5,70.5,,T4
6.6,6.5,31,108,926.5,191,,T4
6.6,5.7,41,100,763.5,191,,T4
6.3,6.3,35,124,884,191,,T4
7,6.9,40,124,968.5,204.5,,T4
6.6,6.7,24.5,104,926.5,222,,T4
6.2,4.7,43.5,49,727.5,108,,T4
6.6,,62.5,228,968.5,180,,T4
6.6,,42.5,192,1010.5,204,,T4
6.8,,36.5,92.5,926.5,204,,T4
6.8,,29,88.5,968.5,180,,T4
6.7,,73.5,248.5,926.5,200,,T4
6.6,,62.5,156,800,180,,T4
6.6,,40,88.5,842,176,,T4
6.7,,50,84,800,200,,T4
6.3,,50,192,842,176,,T4
6.5,,58,257,926.5,184,,T4
6.4,,40,101,800,160,,T4
6.5,,41.5,118,926.5,188,,T4
6.6,,58,184,884,184,,T4
6.8,,65,236,968.5,184,,T4
6.8,,47,101,926.5,192,,T4
6.7,,39,122,1010.5,176,,T4
6.4,,36.5,196,926.5,200,,T4
6.3,,30,143,926.5,200,,T4
6.1,,30,88.5,926.5,192,,T4
6.5,,26.5,84,968.5,204,,T4
6.1,,86.5,118,762,132,,T4
6.1,,70.5,97,647.5,80,,T4
6.4,,58,40,762,92,,T4
6.3,,54.5,49,724,88,,T4
6.8,,39,101,876,217,,T4
6.4,,55,189.5,914.5,221,,T4
6.5,,42.5,105.5,763.5,204,,T4
6.2,,60,212,800,172,,T4
6.6,,45,106.5,842,212,,T4
6.4,,61.5,324,1263,285.5,,T4
6.9,,49,109.5,842,212,,T4
6.5,,69,236,920,220,,T4
6.7,,25,97,880,228,,T4
6.5,,38,212,1160,240,,T4
6.4,,55,40,654.5,112,,T4
6.1,,71,105.5,618,119,,T4
6.1,7.76141,47,126,991,154,69,T5
6,8.53321,33,128,1076,195,69,T5
6.2,6.67897,69,140,1014,150,70,T5
6.3,6.92487,59,167,1041,155,70,T5
6,7.29359,31,95,945,135,69,T5
5.9,8.76346,60,106,1055,98,68,T5
6.1,8.7,51,126,979,135,68,T5
6.3,7.7,31,118,977,154,69,T5
6.2,7.6,59,153,960,146,69,T5
6.5,7.2,59,157,913,128,69,T5
5.9,8.2,31,108,892,128,68,T5
6,8.1,59,84,954,83,68,T5
5.9,5.9,38,115,673,125,,T5
5.8,6.7,25,100,774,170,,T5
6.2,4.8,57,117,706,121,,T5
6.1,5.9,46,139,843,159,,T5
5.9,5.8,30,93,672,119,,T5
5.6,6.8,49,77,717,78,,T5
5.9,5.9,38,115,673,125,,T5
5.8,6.7,25,100,774,170,,T5
6.2,4.8,57,117,706,121,,T5
6.1,5.9,46,139,843,159,,T5
5.9,5.8,30,93,672,119,,T5
5.6,6.8,49,77,717,78,,T5
5.9,,42,136,895,170,,T5
5.9,,33,125,947,184,,T5
6,,57,147,849,170,,T5
6.1,,51,197,1118,203,,T5
5.8,,34,134,881,182,,T5
5.7,,52,103,955,142,,T5
5.9,,44,126,778,146,67,T5
5.8,,31,119,817,166,66,T5
6,,63,136,746,126,68,T5
6.1,,62,153,806,147,69,T5
5.8,,27,99,788,145,67,T5
5.7,,52,87,840,94,66,T5
6,7.3,48,136,904,144,69,T5
5.8,7.1,34,115,834,169,69,T5
6,4.5,55,97,644,125,70,T5
6,6.1,56,145,925,128,70,T5
5.7,7.7,31,107,816,109,68,T5
5.7,7.4,59,86,832,75,68,T5
6,6.9,43,144,806,153,69,T5
6,7,37,134,837,150,69,T5
6.2,8.8,50,163,1119,189,69,T5
6.3,6.1,59,155,893,147,70,T5
5.8,7.7,29,103,771,136,68,T5
5.9,7.9,64,104,874,108,68,T5
6.1,6.4,46,131,762,129,69,T5
6,7.2,36,138,859,159,69,T5
6.1,7.1,68,143,862,144,69,T5
6.2,7.2,66,163,867,146,69,T5
5.9,6.8,34,117,825,138,69,T5
5.8,7.9,57,100,872,105,68,T5
6.1,8.3,59,132,852,157,68,T5
5.8,8.7,34,125,885,183,68,T5
6.1,7.9,59,133,945,193,69,T5
6.2,6.4,63,168,900,173,70,T5
5.6,9.2,37,113,806,157,67,T5
5.8,9.9,70,125,996,125,67,T5
6.4,,41,126.5,716,112,,T5
6.3,,24,109.5,800,172,,T5
6.8,,,105.5,926.5,172,,T5
6.8,,,139,758,152,,T5
6.3,,25,92.5,716,144,,T5
5.9,,49,75.5,842,92,,T5
5.8,8.50013,42,145,1004,229,69,T6
6,8.37449,29,148,1139,276,70,T6
6.1,9.10949,54,148,1116,234,69,T6
6.2,7.46551,39,164,1024,231,71,T6
6.1,8.28039,33,136,1158,257,70,T6
6,6.17808,48,126,891,168,70,T6
6.2,8.1,46,163,976,195,69,T6
6.7,7.5,37,163,1054,215,70,T6
6.4,8.6,51,157,1073,196,69,T6
6.8,7.2,39,163,1026,195,,T6
6.5,7.3,42,141,1059,199,70,T6
6.6,5.9,58,148,860,143,70,T6
6.2,5.6,27,126,742,191,,T6
6.4,6.7,20,137,868,243,,T6
6.4,6.6,37,138,884,218,,T6
6.5,5.8,23,130,768,199,,T6
6.4,6.2,21,111,837,205,,T6
6.4,4.6,35,105,625,140,,T6
6.2,5.6,27,126,742,191,,T6
6.4,6.7,20,137,868,243,,T6
6.4,6.6,37,138,884,218,,T6
6.5,5.8,23,130,768,199,,T6
6.4,6.2,21,111,837,205,,T6
6.4,4.6,35,105,625,140,,T6
6.2,,29,91,937,215,,T6
6.4,,20,95,883,242,,T6
6.3,,39,112,986,242,,T6
6.5,,22,95,852,232,,T6
6.3,,22,76,788,211,,T6
6.5,,33,74,692,197,,T6
6.1,,37,118,799,193,68,T6
6.2,,21,89,867,223,69,T6
6.1,,44,106,880,210,68,T6
6.3,,31,105,886,206,69,T6
6.1,,25,81,865,200,68,T6
6.3,,37,71,672,144,69,T6
5.8,6.9,31,68,837,161,69,T6
6,6.1,19,65,840,203,70,T6
6.1,6.6,35,70,963,191,70,T6
6.1,5.7,23,61,819,178,70,T6
5.8,5.9,22,56,882,166,70,T6
6.4,5.6,39,45,827,156,71,T6
6,7.4,28,73,879,200,69,T6
6.1,6.9,19,76,961,226,70,T6
6,8.4,36,92,1014,232,69,T6
6.3,6.7,23,73,930,218,70,T6
6.2,7,19,69,991,227,70,T6
6.7,5.6,34,42,772,201,71,T6
6.2,7.5,27,77,913,190,69,T6
6.1,8.2,20,83,989,224,69,T6
6.2,8.1,36,90,989,208,69,T6
6.4,6.3,28,82,890,202,71,T6
6.3,7.6,25,69,919,197,69,T6
6.6,6,35,52,846,195,71,T6
6.3,7.8,41,89,924,205,69,T6
6.6,7.5,28,87,1010,263,70,T6
6.5,7.2,46,95,979,248,70,T6
6.7,6.5,31,80,853,241,70,T6
6.4,8.4,33,75,995,241,69,T6
6.8,5.9,49,55,800,210,,T6
6.3,7.8,35,83,903,225,,T6
6.4,7.1,21,89,954,256,,T6
6.5,7.2,36,90,984,247,,T6
6.5,6.7,21,91,897,232,,T6
6.6,7,20,71,945,246,,T6
6.8,5.8,35,57,793,207,,T6
6.3,7.7,33,80,,,,T6
6.4,6.8,23,87,,,,T6
6.6,7.1,37,92,,,,T6
6.6,6.5,27,84,,,,T6
6.5,6.3,25,69,,,,T6
6.8,5.7,40,50,,,,T6
6.3,7.9,40,108,,,,T6
6.4,7,35,131,,,,T6
6.3,8.1,45,119,,,,T6
6.5,6.7,30,103,,,,T6
6.4,7.1,30,110,,,,T6
6.8,5.8,42,73,,,,T6
6.5,8.7,29,100,,,,T6
6.8,9.2,19,92,,,,T6
6.7,9.2,30,100,,,,T6
6.9,9.4,28,117,,,,T6
6.8,9.8,19,83,,,,T6
6.9,8,30,67,,,,T6
6.8,7.1,31,87,,,,T6
6.9,7.9,18,89,,,,T6
6.8,7.1,37,98,,,,T6
6.8,6.4,27,96,,,,T6
6.8,6.9,21,71,,,,T6
6.9,7.5,39,126,,,,T6
6.9,7.6,30,100,,,,T6
7.1,8.3,18,105,,,,T6
7,8.5,35.5,109.5,,,,T6
7.1,8,22.5,100,,,,T6
6.9,7.9,19.5,89.5,,,,T6
7.1,6.6,35.5,63,,,,T6
5.9,6.4,36.5,110,,,,T6
6.8,6.8,19.5,105,,,,T6
6.8,8.4,40,135,,,,T6
6.8,6.6,25.5,105,,,,T6
6.7,6.7,19.5,100,,,,T6
6.7,5,35,66.5,,,,T6
6.6,5.9,31.5,120,,,,T6
6.7,6.4,22,105,,,,T6
6.7,6.4,35,135,,,,T6
6.8,6.4,26.5,130,,,,T6
6.7,6.5,19.5,110,,,,T6
6.6,4.5,37,85,,,,T6
6.3,7.1,34,130,1000,216,,T6
6.5,7.6,23,140,1047,242,,T6
6.5,8,44,185,1095,247,,T6
6.6,7,28,150,950,221,,T6
6.3,6.7,21,120,950,200,,T6
6.1,5.6,36,105,800,161,,T6
6,7.4,31,84,900,184,,T6
6.3,6.8,23,94,950,219,,T6
6.3,6.4,40,100,900,194,,T6
6.4,6.7,28,89,950,205,,T6
6.4,6.7,19,79,950,205,,T6
5.9,7.6,42,63,800,126,,T6
5.9,4.9,32,105,650,170,,T6
5.9,5.1,21,124,650,180,,T6
6.1,5.9,36,119,800,190,,T6
6.2,5.3,26,105,700,180,,T6
6,5.4,21,89,750,165,,T6
5.9,3.6,41,79,500,105,,T6
6.2,6,33,75,850,190,,T6
6.2,6.3,22,75,900,190,,T6
6.3,5.9,39,75,850,176,,T6
6.4,5.6,27,70,800,171,,T6
6.2,5.7,20,65,850,152,,T6
6,3.9,32,45,600,90,,T6
6.3,5.4,32.5,58,800,152,,T6
5.9,5.5,19.5,66.5,800,164,,T6
6.6,5.9,32.5,53.5,884,164,,T6
6.3,5.8,26.5,58,842,168,,T6
6.1,5.5,15.5,49,842,140,,T6
6,3.9,30.5,31,589.5,100,,T6
6.3,6.3,40,144,884,182,,T6
6.4,6.1,29.5,112,842,195.5,,T6
6.3,7.4,47.5,,968.5,200,,T6
6.5,5.7,36,116,800,173.5,,T6
6.2,6,26,80,884,169,,T6
5.8,5.8,41,62,691,116,,T6
6.3,,50,118,876,168,,T6
6.4,,32.5,101,876,196,,T6
6.3,,60,130.5,990.5,184,,T6
6.5,,41.5,122,838,180,,T6
6.1,,29,84,876,152,,T6
5.9,,56.5,58,618,64,,T6
6.5,,47.5,101,800,209.5,,T6
6.6,,36,97,800,220,,T6
6.5,,62.5,111,842,200,,T6
6.8,,42.5,97,763.5,204,,T6
6.3,,32,75.5,840,196,,T6
5.9,,56.5,53.5,618,108,,T6
6,6.2,30,88,699,152,69,T7
6,7.6,54,162,890,184,69,T7
6,6.9,47,167,805,153,69,T7
6.3,6.6,51,168,765,139,69,T7
6.1,7.4,32,121,898,171,69,T7
5.9,7.8,49,100,860,103,68,T7
6.4,,33.5,80,631.5,128,,T7
6.2,,53.5,126.5,800,152,,T7
6.5,,43.5,97,800,152,,T7
6.6,,64,126.5,758,108,,T7
6.2,,40,88.5,716,144,,T7
6.1,,42.5,71,800,92,,T7
5.3,8.90949,46,70,626,96,66,T8nt
4.9,9.47115,59,57,365,36,64,T8nt
4.9,9.75321,57,63,415,38,64,T8nt
5,9.2991,41,64,527,60,65,T8nt
5,11.2,61,92,424,48,63,T8nt
5.3,11.1,68,99,410,53,63,T8nt
5.1,9,51,81,470,49,65,T8nt
5.4,10.5,42,85,522,54,64,T8nt
5,9.9,41,58,407,65,,T8nt
5,8.6,38,59,384,66,,T8nt
5.1,8.2,30,54,534,75,,T8nt
5.1,7.8,34,51,465,64,,T8nt
5,9.9,41,58,407,65,,T8nt
5,8.6,38,59,384,66,,T8nt
5.1,8.2,30,54,534,75,,T8nt
5.1,7.8,34,51,465,64,,T8nt
5.5,8.8,37,93,598,90,66,T8nt
5.7,6.9,44,109,685,95,68,T8nt
5.4,7.2,27,97,527,91,67,T8nt
5.5,8.5,30,114,751,103,67,T8nt
5.4,,30.5,88.5,589.5,88,,T8nt
5.8,,25,101,716,84,,T8nt
5.5,,22.5,75.5,589.5,84,,T8nt
5.9,,21.5,71,716,88,,T8nt
4.4,,96.5,28,294.5,10,,T8nt
4.8,,52,37.5,294.5,15,,T8nt
5.3,,17.5,33,673.5,35,,T8nt
5.1,,45,37.5,379,45,,T8nt
5,,90.5,37.5,421,50,,T8nt
5.3,,43.5,66,547.5,65,,T8nt
5.3,,72.5,42.5,379,35,,T8nt
4.8,,10,37.5,294.5,25,,T8nt
5.1,,14,37.5,337,25,,T8nt
